,total,year,school_year_id,location_id,school_year_name,location_name
338,2250473,2014,32.0,1,Ens. Fundamental - 1ª série/2º ano,Urbana
339,442515,2014,32.0,2,Ens. Fundamental - 1ª série/2º ano,Rural
340,2731704,2014,33.0,1,Ens. Fundamental - 2ª série/3º ano,Urbana
341,575045,2014,33.0,2,Ens. Fundamental - 2ª série/3º ano,Rural
342,2683439,2014,34.0,1,Ens. Fundamental - 3ª série/4º ano,Urbana
343,565908,2014,34.0,2,Ens. Fundamental - 3ª série/4º ano,Rural
344,2695357,2014,35.0,1,Ens. Fundamental - 4ª série/5º Ano,Urbana
345,550424,2014,35.0,2,Ens. Fundamental - 4ª série/5º Ano,Rural
346,2959329,2014,41.0,1,Ens. Fundamental - 5ª série/6º ano,Urbana
347,450576,2014,41.0,2,Ens. Fundamental - 5ª série/6º ano,Rural
348,2941574,2014,42.0,1,Ens. Fundamental - 6ª série/7º ano,Urbana
349,397113,2014,42.0,2,Ens. Fundamental - 6ª série/7º ano,Rural
350,2722585,2014,43.0,1,Ens. Fundamental - 7ª série/8º ano,Urbana
351,342185,2014,43.0,2,Ens. Fundamental - 7ª série/8º ano,Rural
352,2657617,2014,44.0,1,Ens. Fundamental - 8ª serie/9º ano,Urbana
353,295394,2014,44.0,2,Ens. Fundamental - 8ª serie/9º ano,Rural
354,3262939,2014,51.0,1,Ens. Médio - 1ª série,Urbana
355,143994,2014,51.0,2,Ens. Médio - 1ª série,Rural
356,2503282,2014,52.0,1,Ens. Médio - 2ª série,Urbana
357,104550,2014,52.0,2,Ens. Médio - 2ª série,Rural
358,2139675,2014,53.0,1,Ens. Médio - 3ª série,Urbana
359,85800,2014,53.0,2,Ens. Médio - 3ª série,Rural
360,58683,2014,54.0,1,Ens. Médio - 4ª série,Urbana
361,2451,2014,54.0,2,Ens. Médio - 4ª série,Rural
362,48049,2014,61.0,1,EJA - anos iniciais do Ens. Fundamental,Urbana
363,941,2014,61.0,2,EJA - anos iniciais do Ens. Fundamental,Rural
364,1345116,2014,71.0,1,Educação Profissional,Urbana
365,29964,2014,71.0,2,Educação Profissional,Rural
366,174327,2015,11.0,1,Creche - Menor de 1 ano,Urbana
367,4253,2015,11.0,2,Creche - Menor de 1 ano,Rural
368,534313,2015,12.0,1,Creche - 1 ano,Urbana
369,16053,2015,12.0,2,Creche - 1 ano,Rural
370,989035,2015,13.0,1,Creche - 2 anos,Urbana
371,54460,2015,13.0,2,Creche - 2 anos,Rural
372,1530767,2015,14.0,1,Creche - 3 anos,Urbana
373,165004,2015,14.0,2,Creche - 3 anos,Rural
374,2014309,2015,21.0,1,Pré-escola - 4 anos,Urbana
375,314512,2015,21.0,2,Pré-escola - 4 anos,Rural
376,1827829,2015,22.0,1,Pré-escola - 5 anos,Urbana
377,306284,2015,22.0,2,Pré-escola - 5 anos,Rural
378,2900881,2015,31.0,1,Ens. Fundamental - 1º Ano,Urbana
379,516373,2015,31.0,2,Ens. Fundamental - 1º Ano,Rural
380,2149094,2015,32.0,1,Ens. Fundamental - 1ª série/2º ano,Urbana
381,407658,2015,32.0,2,Ens. Fundamental - 1ª série/2º ano,Rural
382,2750260,2015,33.0,1,Ens. Fundamental - 2ª série/3º ano,Urbana
383,556606,2015,33.0,2,Ens. Fundamental - 2ª série/3º ano,Rural
384,2602972,2015,34.0,1,Ens. Fundamental - 3ª série/4º ano,Urbana
385,542679,2015,34.0,2,Ens. Fundamental - 3ª série/4º ano,Rural
386,2642067,2015,35.0,1,Ens. Fundamental - 4ª série/5º Ano,Urbana
387,534921,2015,35.0,2,Ens. Fundamental - 4ª série/5º Ano,Rural
388,3012513,2015,41.0,1,Ens. Fundamental - 5ª série/6º ano,Urbana
389,442483,2015,41.0,2,Ens. Fundamental - 5ª série/6º ano,Rural
390,2720840,2015,42.0,1,Ens. Fundamental - 6ª série/7º ano,Urbana
391,383776,2015,42.0,2,Ens. Fundamental - 6ª série/7º ano,Rural
